P08373--Q9HZM7--45.3--2.7e-80--murB PA2977--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00037}.--CATALYTIC ACTIVITY: Reaction=NADP(+) + UDP-N-acetyl-alpha-D-muramate = H(+) + NADPH + UDP-N-acetyl-3-O-(1-carboxyvinyl)-alpha-D-glucosamine; Xref=Rhea:RHEA:12248, ChEBI:CHEBI:15378, ChEBI:CHEBI:57783, ChEBI:CHEBI:58349, ChEBI:CHEBI:68483, ChEBI:CHEBI:70757; EC=1.3.1.98; Evidence={ECO:0000255|HAMAP-Rule:MF_00037};--   --4JAY;4JB1;
P26393--Q9HU22--75.2--4e-159--rmlA PA5163----FUNCTION: Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis. {ECO:0000256|RuleBase:RU003706}.--CATALYTIC ACTIVITY: Reaction=alpha-D-glucose 1-phosphate + dTTP + H(+) = diphosphate + dTDP-alpha-D-glucose; Xref=Rhea:RHEA:15225, ChEBI:CHEBI:15378, ChEBI:CHEBI:33019, ChEBI:CHEBI:37568, ChEBI:CHEBI:57477, ChEBI:CHEBI:58601; EC=2.7.7.24; Evidence={ECO:0000256|ARBA:ARBA00001095, ECO:0000256|RuleBase:RU003706};--   --1FXO;1FZW;1G0R;1G1L;1G23;1G2V;1G3L;3ZLK;3ZLL;4ARW;4ASJ;4ASY;4B2W;4B2X;4B3U;4B42;4B4B;4B4G;4B4M;4B5B;5FTS;5FTV;5FU0;5FU8;5FUH;5FYE;6T38;
P44490--Q9HZM5--54.2--1.1e-85--kdsB PA2979--Nucleotide-sugar biosynthesis; CMP-3-deoxy-D-manno-octulosonate biosynthesis; CMP-3-deoxy-D-manno-octulosonate from 3-deoxy-D-manno-octulosonate and CTP: step 1/1. Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Activates KDO (a required 8-carbon sugar) for incorporation into bacterial lipopolysaccharide in Gram-negative bacteria. {ECO:0000255|HAMAP-Rule:MF_00057}.--CATALYTIC ACTIVITY: Reaction=3-deoxy-alpha-D-manno-oct-2-ulosonate + CTP = CMP-3-deoxy-beta-D-manno-octulosonate + diphosphate; Xref=Rhea:RHEA:23448, ChEBI:CHEBI:33019, ChEBI:CHEBI:37563, ChEBI:CHEBI:85986, ChEBI:CHEBI:85987; EC=2.7.7.38; Evidence={ECO:0000255|HAMAP-Rule:MF_00057};--   --4XWI;
P45314--Q9HVV9--40.1--6.7e-35--PA4458----FUNCTION: Catalyzes the hydrolysis of 3-deoxy-D-manno-octulosonate 8-phosphate (KDO 8-P) to 3-deoxy-D-manno-octulosonate (KDO) and inorganic phosphate. {ECO:0000256|PIRNR:PIRNR006118}.--CATALYTIC ACTIVITY: Reaction=3-deoxy-alpha-D-manno-2-octulosonate-8-phosphate + H2O = 3-deoxy-alpha-D-manno-oct-2-ulosonate + phosphate; Xref=Rhea:RHEA:11500, ChEBI:CHEBI:15377, ChEBI:CHEBI:43474, ChEBI:CHEBI:85985, ChEBI:CHEBI:85986; EC=3.1.3.45; Evidence={ECO:0000256|ARBA:ARBA00000898, ECO:0000256|PIRNR:PIRNR006118};--   --
P28305--Q9HZN6--35.8--2.3e-36--pabC PA2964--------   --2Y4R;
Q59643--Q59643--100.0--0.0--hemB PA5243--Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 1/4. --FUNCTION: Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen (By similarity). {ECO:0000250}.--CATALYTIC ACTIVITY: Reaction=2 5-aminolevulinate = H(+) + 2 H2O + porphobilinogen; Xref=Rhea:RHEA:24064, ChEBI:CHEBI:15377, ChEBI:CHEBI:15378, ChEBI:CHEBI:58126, ChEBI:CHEBI:356416; EC=4.2.1.24; Evidence={ECO:0000269|PubMed:16819823};--   --1B4K;1GZG;1W54;1W56;1W5M;1W5N;1W5O;1W5P;1W5Q;2C13;2C14;2C15;2C16;2C18;2C19;2WOQ;
Q51366--Q51366--100.0--0.0--gmd gca PA5453--Bacterial outer membrane biogenesis; lipopolysaccharide biosynthesis. --FUNCTION: Catalyzes the conversion of GDP-D-mannose to GDP-4-dehydro-6-deoxy-D-mannose. {ECO:0000255|HAMAP-Rule:MF_00955, ECO:0000269|PubMed:14739333}.--CATALYTIC ACTIVITY: Reaction=GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O; Xref=Rhea:RHEA:23820, ChEBI:CHEBI:15377, ChEBI:CHEBI:57527, ChEBI:CHEBI:57964; EC=4.2.1.47; Evidence={ECO:0000255|HAMAP-Rule:MF_00955, ECO:0000269|PubMed:14739333};--   --1RPN;
P00959--Q9HYC7--65.6--0.0--metG PA3482----FUNCTION: Is required not only for elongation of protein synthesis but also for the initiation of all mRNA translation through initiator tRNA(fMet) aminoacylation. {ECO:0000255|HAMAP-Rule:MF_00098}.--CATALYTIC ACTIVITY: Reaction=ATP + L-methionine + tRNA(Met) = AMP + diphosphate + L-methionyl-tRNA(Met); Xref=Rhea:RHEA:13481, Rhea:RHEA-COMP:9667, Rhea:RHEA-COMP:9698, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57844, ChEBI:CHEBI:78442, ChEBI:CHEBI:78530, ChEBI:CHEBI:456215; EC=6.1.1.10; Evidence={ECO:0000255|HAMAP-Rule:MF_00098};--   --
P60906--Q9HXJ5--61.0--1.6e-178--hisS PA3802------CATALYTIC ACTIVITY: Reaction=ATP + L-histidine + tRNA(His) = AMP + diphosphate + H(+) + L-histidyl-tRNA(His); Xref=Rhea:RHEA:17313, Rhea:RHEA-COMP:9665, Rhea:RHEA-COMP:9689, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57595, ChEBI:CHEBI:78442, ChEBI:CHEBI:78527, ChEBI:CHEBI:456215; EC=6.1.1.21; Evidence={ECO:0000255|HAMAP-Rule:MF_00127};--   --
P0A8M5--Q9I099--65.2--0.0--thrS PA2744----FUNCTION: Catalyzes the attachment of threonine to tRNA(Thr) in a two-step reaction: L-threonine is first activated by ATP to form Thr-AMP and then transferred to the acceptor end of tRNA(Thr). Also edits incorrectly charged L-seryl-tRNA(Thr). {ECO:0000255|HAMAP-Rule:MF_00184}.--CATALYTIC ACTIVITY: Reaction=ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + H(+) + L-threonyl-tRNA(Thr); Xref=Rhea:RHEA:24624, Rhea:RHEA-COMP:9670, Rhea:RHEA-COMP:9704, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57926, ChEBI:CHEBI:78442, ChEBI:CHEBI:78534, ChEBI:CHEBI:456215; EC=6.1.1.3; Evidence={ECO:0000255|HAMAP-Rule:MF_00184};--   --
P22188--Q59650--49.4--1.6e-132--murE PA4417--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan. {ECO:0000255|HAMAP-Rule:MF_00208}.--CATALYTIC ACTIVITY: Reaction=ATP + meso-2,6-diaminoheptanedioate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptanedioate; Xref=Rhea:RHEA:23676, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57791, ChEBI:CHEBI:83900, ChEBI:CHEBI:83905, ChEBI:CHEBI:456216; EC=6.3.2.13; Evidence={ECO:0000255|HAMAP-Rule:MF_00208};--   --
Q5SHF5--Q9HV69--52.6--4e-78--panC PA4730--Cofactor biosynthesis; (R)-pantothenate biosynthesis; (R)-pantothenate from (R)-pantoate and beta-alanine: step 1/1. --FUNCTION: Catalyzes the condensation of pantoate with beta-alanine in an ATP-dependent reaction via a pantoyl-adenylate intermediate. {ECO:0000255|HAMAP-Rule:MF_00158}.--CATALYTIC ACTIVITY: Reaction=(R)-pantoate + ATP + beta-alanine = (R)-pantothenate + AMP + diphosphate + H(+); Xref=Rhea:RHEA:10912, ChEBI:CHEBI:15378, ChEBI:CHEBI:15980, ChEBI:CHEBI:29032, ChEBI:CHEBI:30616, ChEBI:CHEBI:33019, ChEBI:CHEBI:57966, ChEBI:CHEBI:456215; EC=6.3.2.1; Evidence={ECO:0000255|HAMAP-Rule:MF_00158};--   --
P45066--Q9HW02--56.8--0.0--murC PA4411--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. {ECO:0000255|HAMAP-Rule:MF_00046}.--CATALYTIC ACTIVITY: Reaction=ATP + L-alanine + UDP-N-acetyl-alpha-D-muramate = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine; Xref=Rhea:RHEA:23372, ChEBI:CHEBI:15378, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:57972, ChEBI:CHEBI:70757, ChEBI:CHEBI:83898, ChEBI:CHEBI:456216; EC=6.3.2.8; Evidence={ECO:0000255|HAMAP-Rule:MF_00046};--   --5VVW;6X9F;6X9N;
P14900--Q9HVZ9--51.1--2.1e-124--murD PA4414--Cell wall biogenesis; peptidoglycan biosynthesis. --FUNCTION: Cell wall formation. Catalyzes the addition of glutamate to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanine (UMA).--CATALYTIC ACTIVITY: Reaction=ATP + D-glutamate + UDP-N-acetyl-alpha-D-muramoyl-L-alanine = ADP + H(+) + phosphate + UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate; Xref=Rhea:RHEA:16429, ChEBI:CHEBI:15378, ChEBI:CHEBI:29986, ChEBI:CHEBI:30616, ChEBI:CHEBI:43474, ChEBI:CHEBI:83898, ChEBI:CHEBI:83900, ChEBI:CHEBI:456216; EC=6.3.2.9; Evidence={ECO:0000255|HAMAP-Rule:MF_00639};--   --
